,ipt,instance,pid,condition,order,fcaps,BFS,ASTAR,GBFS,ALH,start_hierarchy,optimal_cost,lh1,lh2,lh3,lh4,lh5,lh6,lh7
0,15106,TOL_112,0,1,1,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
1,18402,TOL_112,15,1,15,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
2,4773,TOL_112,38,1,21,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
3,23290,TOL_112,39,1,35,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
4,57899,TOL_112,51,1,7,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
5,7816,TOL_112,64,1,15,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
6,19954,TOL_112,65,1,5,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
7,4697,TOL_112,70,1,22,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
8,15640,TOL_112,75,1,5,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
9,12080,TOL_112,77,1,28,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
10,11095,TOL_112,79,1,2,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
11,4815,TOL_112,81,1,21,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
12,27863,TOL_112,93,1,24,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
13,5742,TOL_112,122,1,8,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
14,1662,TOL_112,130,1,26,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
15,14255,TOL_112,131,1,18,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
16,15142,TOL_112,169,1,29,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
17,8365,TOL_112,173,1,10,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
18,5715,TOL_112,174,1,1,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
19,27424,TOL_112,182,1,13,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
20,37541,TOL_112,188,1,23,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
21,34246,TOL_112,204,1,33,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
22,11964,TOL_112,207,1,21,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
23,8463,TOL_112,219,1,1,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
24,6336,TOL_112,221,1,32,35,1470,66,15,67,2,6,4,14,45,145,461,1470,1470
